barcode,sku,titel,optie,woorden,afbeeldingen,adviesprijs,actieprijs,op_voorraad,bron_url
8720959401667,MT1999,Biologisch Duivelsklauw extract - 120 capsules,,573,1,17.95,13.46,ja,https://www.mattisson.nl/biologisch-duivelsklauw-extract-120-capsules
8720959401490,MT2302,Vegan Calcium Citraat Malaat poeder - 125 gram,,538,1,19.95,14.96,ja,https://www.mattisson.nl/vegan-calcium-citraat-malaat-poeder-125-gram
8720959401506,MT2303,Vegan Calcium Citraat Malaat - 120 capsules,,525,1,17.95,13.46,ja,https://www.mattisson.nl/vegan-calcium-citraat-malaat-120-capsules
8720959401698,MT2628,Biologische Maca Blend 750mg - 90 capsules,,734,1,15.95,11.96,ja,https://www.mattisson.nl/biologische-maca-blend-750mg-90-capsules
8720959401674,MT4321,Omega 3 Visolie EPA 33% / DHA 22% 1000mg - Friend of the Sea - 90 capsules,,786,1,22.95,17.21,ja,https://www.mattisson.nl/omega-3-visolie-epa-33-dha-22-1000mg-friend-of-the-sea-90-capsules
8720959401704,MT4322,Omega 3 Visolie EPA 18% / DHA 12% 1000mg - Friend of the Sea - 120 capsules,,783,1,19.95,14.96,ja,https://www.mattisson.nl/omega-3-visolie-epa-18-dha-12-1000mg-friend-of-the-sea-120-capsules
8720959402428,MTbundel2,Hormoonbalans Bundel,,264,1,56.90,42.68,ja,https://www.mattisson.nl/hormoonbalans-bundel
8720959401902,MTbundel3,Basis Vrouw Bundel,,277,1,81.85,61.39,ja,https://www.mattisson.nl/basis-vrouw-bundel
8720959401919,MTbundel4,Basis Man Bundel,,313,1,81.85,61.39,ja,https://www.mattisson.nl/basis-man-bundel
8720959401926,MTbundel5,Immuunsysteem Bundel,,239,1,50.85,38.14,nee,https://www.mattisson.nl/immuunsysteem-bundel
8720959402411,MTbundel6,Slaap & Ontspanning Bundel,,156,1,35.90,26.93,ja,https://www.mattisson.nl/slaap-ontspanning-bundel
8720959401940,MTbundel7,Energie Bundel,,238,1,50.85,38.14,nee,https://www.mattisson.nl/energie-bundel
8720959401957,MTbundel8,Gemoedstoestand Bundel,,223,1,59.90,44.93,ja,https://www.mattisson.nl/gemoedstoestand-bundel
8720959401964,MTbundel9,Sport Bundel,,200,1,75.85,56.89,ja,https://www.mattisson.nl/sport-bundel
8720959401971,MTbundel10,50+ Bundel,,274,1,64.85,48.64,ja,https://www.mattisson.nl/50-bundel
8720959401988,MTbundel11,Zwanger/Mama Bundel,,367,1,65.85,49.39,ja,https://www.mattisson.nl/zwanger-mama-bundel
8720959401995,MTbundel12,"Botten, Gewrichten & Spieren Bundel",,209,1,31.90,23.93,ja,https://www.mattisson.nl/botten-gewrichten-spieren-bundel
8720959402008,MTbundel13,Focus Bundel,,229,1,61.85,46.39,ja,https://www.mattisson.nl/focus-bundel
8720959402022,MT2624,Biologische Rode Maca - 90 capsules,,674,1,15.95,11.96,ja,https://www.mattisson.nl/biologische-rode-maca-90-capsules
8720959402015,MT2629,Biologische Zwarte Maca - 90 capsules,,759,1,15.95,11.96,ja,https://www.mattisson.nl/biologische-zwarte-maca-90-capsules
8720959402039,MT4179,Elektrolyten Poeder Natural - Electrolytes - 300g,,1089,1,26.95,20.21,ja,https://www.mattisson.nl/elektrolyten-poeder-naturel-300-gram
8720959402046,MT4178,Vegan Elektrolyten - 180 capsules,,714,1,24.95,18.71,ja,https://www.mattisson.nl/vegan-elektrolyten-180-capsules
8720959402237,MT4001,Mattisson Tas - Biologisch Katoen,,190,1,18.95,18.95,ja,https://www.mattisson.nl/mattisson-tas
8720959402138,MT4400,Omega 3 Bloedtest,,359,1,79.00,79.00,ja,https://www.mattisson.nl/omega-3-bloedtest
8720959402145,MT4401,Speeksel Test Hormonen Vrouw,,202,1,129.00,129.00,ja,https://www.mattisson.nl/speeksel-test-hormonen-vrouw
8720959402152,MT4402,Speeksel Test Hormonen Man,,148,1,129.00,129.00,ja,https://www.mattisson.nl/speeksel-test-hormonen-man
8720959402169,MT4403,Microbioom onderzoek XL,,186,1,259.00,259.00,ja,https://www.mattisson.nl/microbioom-onderzoek-xl
8720959402176,MT4404,Voedsel Intolerantietest Plus,,395,1,199.00,199.00,ja,https://www.mattisson.nl/voedsel-intolerantietest-plus
8720959402251,MT1838,Biologische Cichorei Vezels - 275 gram,,713,1,19.95,19.95,ja,https://www.mattisson.nl/biologische-cichorei-vezels-275-gram
8720959402244,MT2631,Biologisch Matcha Ceremonie poeder - 35 gram,,1024,1,27.95,20.96,ja,https://www.mattisson.nl/biologisch-matcha-ceremonie-poeder-35-gram
8720959402299,MTbundel14,Beauty Bundel,,198,1,74.85,56.14,ja,https://www.mattisson.nl/beauty-bundel
8720959402220,MT1997,Keltisch Zeezout Gedroogd - 1000 gram,,772,1,5.95,5.95,ja,https://www.mattisson.nl/keltisch-zeezout-gedroogd-1000-gram
8720959401896,MT1510,Biologische Coconut Aminos - 250 ml,,773,1,8.95,8.95,nee,https://www.mattisson.nl/biologische-coconut-aminos-250-ml
8720959402268,MT4299,Vegan Shilajit 400mg - 60 capsules,,665,1,19.95,14.96,ja,https://www.mattisson.nl/vegan-shilajit-400mg-60-capsules
8720959402275,MT2074,Biologisch Lion’s Mane extract 500 mg – 60 capsules,,690,1,29.95,22.46,ja,https://www.mattisson.nl/biologisch-lion-s-mane-extract-500-mg-60-capsules
8720959401933,MT1701,Vegan Bacopa extract 150 mg - 60 capsules,,715,1,19.95,14.96,ja,https://www.mattisson.nl/vegan-bacopa-extract-150-mg-60-capsules
8720959402282,MT2301,Multi Magnesium 200 mg - 120 capsules,,814,1,24.95,18.71,ja,https://www.mattisson.nl/vegan-multi-magnesium-200-mg-120-capsules
8720959401872,MT2397,Magnesium Bisglycinaat 150 mg - 120 capsules,,479,1,24.95,18.71,ja,https://www.mattisson.nl/magnesium-bisglycinaat-150-mg-120-capsules
8720959402398,MT2300,Biologische Magnesium 100 mg - 60 capsules,,532,1,26.95,20.21,ja,https://www.mattisson.nl/biologische-magnesium-100-mg-60-capsules
8720959402404,MT1837,Lactase OptiFerm - 3000 FCC - 90 capsules,,476,1,22.95,17.21,ja,https://www.mattisson.nl/lactase-optiferm-3000-fcc-90-capsules
8720959402435,MT2401,Natuurlijk Calcium Icecal - 480 mg - 150 gram,,475,1,24.95,18.71,ja,https://www.mattisson.nl/natuurlijk-calcium-icecal-480-mg-150-gram
8720959402060,MT7000,Sleep Well etherische olie - 10 ml,,704,1,15.95,15.95,ja,https://www.mattisson.nl/sleep-well-etherische-olie-10-ml
8720959402077,MT7001,Stress Release etherische olie - 10 ml,,853,1,14.95,14.95,ja,https://www.mattisson.nl/stress-release-etherische-olie-10-ml
8720959402084,MT7002,Focus etherische olie - 10 ml,,705,1,14.95,14.95,ja,https://www.mattisson.nl/focus-etherische-olie-10-ml
8720959402091,MT7003,Sleep Well roomspray - 50 ml,,692,1,14.95,14.95,ja,https://www.mattisson.nl/sleep-well-roomspray-50-ml
